OID_,States,AverageAnnualTemperature,Year_Converted
1,Jammu and Kashmir,-1.6799999,01-01-1901 00:00:00
2,Jammu and Kashmir,-1.5599999,01-01-1902 00:00:00
3,Jammu and Kashmir,-2.2700000,01-01-1903 00:00:00
4,Jammu and Kashmir,-1.8200001,01-01-1904 00:00:00
5,Jammu and Kashmir,-2.5000000,01-01-1905 00:00:00
6,Jammu and Kashmir,-1.8000000,01-01-1906 00:00:00
7,Jammu and Kashmir,-2.2200000,01-01-1907 00:00:00
8,Jammu and Kashmir,-1.8600000,01-01-1908 00:00:00
9,Jammu and Kashmir,-1.9900000,01-01-1909 00:00:00
10,Jammu and Kashmir,-2.1300001,01-01-1910 00:00:00
11,Jammu and Kashmir,-1.8000000,01-01-1911 00:00:00
12,Jammu and Kashmir,-1.6900001,01-01-1912 00:00:00
13,Jammu and Kashmir,-2.3599999,01-01-1913 00:00:00
14,Jammu and Kashmir,-1.8400000,01-01-1914 00:00:00
15,Jammu and Kashmir,-1.2800000,01-01-1915 00:00:00
16,Jammu and Kashmir,-1.5800000,01-01-1916 00:00:00
17,Jammu and Kashmir,-2.2500000,01-01-1917 00:00:00
18,Jammu and Kashmir,-1.9900000,01-01-1918 00:00:00
19,Jammu and Kashmir,-2.3499999,01-01-1919 00:00:00
20,Jammu and Kashmir,-2.4000001,01-01-1920 00:00:00
21,Jammu and Kashmir,-1.4700000,01-01-1921 00:00:00
22,Jammu and Kashmir,-1.5800000,01-01-1922 00:00:00
23,Jammu and Kashmir,-1.9400001,01-01-1923 00:00:00
24,Jammu and Kashmir,-1.9000000,01-01-1924 00:00:00
25,Jammu and Kashmir,-2.0500000,01-01-1925 00:00:00
26,Jammu and Kashmir,-2.1800001,01-01-1926 00:00:00
27,Jammu and Kashmir,-2.0999999,01-01-1927 00:00:00
28,Jammu and Kashmir,-1.6500000,01-01-1928 00:00:00
29,Jammu and Kashmir,-1.9900000,01-01-1929 00:00:00
30,Jammu and Kashmir,-2.2200000,01-01-1930 00:00:00
31,Jammu and Kashmir,-1.5599999,01-01-1931 00:00:00
32,Jammu and Kashmir,-1.4299999,01-01-1932 00:00:00
33,Jammu and Kashmir,-2.0899999,01-01-1933 00:00:00
34,Jammu and Kashmir,-1.7700000,01-01-1934 00:00:00
35,Jammu and Kashmir,-2.2200000,01-01-1935 00:00:00
36,Jammu and Kashmir,-1.8900000,01-01-1936 00:00:00
37,Jammu and Kashmir,-2.0799999,01-01-1937 00:00:00
38,Jammu and Kashmir,-1.8099999,01-01-1938 00:00:00
39,Jammu and Kashmir,-1.8300000,01-01-1939 00:00:00
40,Jammu and Kashmir,-1.6400000,01-01-1940 00:00:00
41,Jammu and Kashmir,-0.6500000,01-01-1941 00:00:00
42,Jammu and Kashmir,-1.4200000,01-01-1942 00:00:00
43,Jammu and Kashmir,-1.4700000,01-01-1943 00:00:00
44,Jammu and Kashmir,-1.7800000,01-01-1944 00:00:00
45,Jammu and Kashmir,-1.9800000,01-01-1945 00:00:00
46,Jammu and Kashmir,-0.9500000,01-01-1946 00:00:00
47,Jammu and Kashmir,-1.1000000,01-01-1947 00:00:00
48,Jammu and Kashmir,-1.8099999,01-01-1948 00:00:00
49,Jammu and Kashmir,-1.5599999,01-01-1949 00:00:00
50,Jammu and Kashmir,-2.3299999,01-01-1950 00:00:00
51,Jammu and Kashmir,-1.7200000,01-01-1951 00:00:00
52,Jammu and Kashmir,-1.4800000,01-01-1952 00:00:00
53,Jammu and Kashmir,-1.1000000,01-01-1953 00:00:00
54,Jammu and Kashmir,-1.8800000,01-01-1954 00:00:00
55,Jammu and Kashmir,-1.7100000,01-01-1955 00:00:00
56,Jammu and Kashmir,-1.4400001,01-01-1956 00:00:00
57,Jammu and Kashmir,-2.3699999,01-01-1957 00:00:00
58,Jammu and Kashmir,-1.2600000,01-01-1958 00:00:00
59,Jammu and Kashmir,-1.6200000,01-01-1959 00:00:00
60,Jammu and Kashmir,-1.5500000,01-01-1960 00:00:00
61,Jammu and Kashmir,-1.7800000,01-01-1961 00:00:00
62,Jammu and Kashmir,-1.6700000,01-01-1962 00:00:00
63,Jammu and Kashmir,-1.4100000,01-01-1963 00:00:00
64,Jammu and Kashmir,-1.8400000,01-01-1964 00:00:00
65,Jammu and Kashmir,-1.7700000,01-01-1965 00:00:00
66,Jammu and Kashmir,-1.7500000,01-01-1966 00:00:00
67,Jammu and Kashmir,-2.0999999,01-01-1967 00:00:00
68,Jammu and Kashmir,-2.0300000,01-01-1968 00:00:00
69,Jammu and Kashmir,-1.4500000,01-01-1969 00:00:00
70,Jammu and Kashmir,-1.2600000,01-01-1970 00:00:00
71,Jammu and Kashmir,-1.3900000,01-01-1971 00:00:00
72,Jammu and Kashmir,-1.8000000,01-01-1972 00:00:00
73,Jammu and Kashmir,-1.3300000,01-01-1973 00:00:00
74,Jammu and Kashmir,-1.9800000,01-01-1974 00:00:00
75,Jammu and Kashmir,-2.3499999,01-01-1975 00:00:00
76,Jammu and Kashmir,-2.0200000,01-01-1976 00:00:00
77,Jammu and Kashmir,-1.5200000,01-01-1977 00:00:00
78,Jammu and Kashmir,-1.7300000,01-01-1978 00:00:00
79,Jammu and Kashmir,-1.7500000,01-01-1979 00:00:00
80,Jammu and Kashmir,-1.3800000,01-01-1980 00:00:00
81,Jammu and Kashmir,-1.8200001,01-01-1981 00:00:00
82,Jammu and Kashmir,-2.1600001,01-01-1982 00:00:00
83,Jammu and Kashmir,-2.4000001,01-01-1983 00:00:00
84,Jammu and Kashmir,-1.7300000,01-01-1984 00:00:00
85,Jammu and Kashmir,-1.3500000,01-01-1985 00:00:00
86,Jammu and Kashmir,-2.2200000,01-01-1986 00:00:00
87,Jammu and Kashmir,-1.6500000,01-01-1987 00:00:00
88,Jammu and Kashmir,-1.3200001,01-01-1988 00:00:00
89,Jammu and Kashmir,-2.3099999,01-01-1989 00:00:00
90,Jammu and Kashmir,-1.4700000,01-01-1990 00:00:00
91,Jammu and Kashmir,-2.0899999,01-01-1991 00:00:00
92,Jammu and Kashmir,-2.0100000,01-01-1992 00:00:00
93,Jammu and Kashmir,-1.5800000,01-01-1993 00:00:00
94,Jammu and Kashmir,-1.4800000,01-01-1994 00:00:00
95,Jammu and Kashmir,-1.9100000,01-01-1995 00:00:00
96,Jammu and Kashmir,-1.7100000,01-01-1996 00:00:00
97,Jammu and Kashmir,-1.9400001,01-01-1997 00:00:00
98,Jammu and Kashmir,-1.2600000,01-01-1998 00:00:00
99,Jammu and Kashmir,-0.5900000,01-01-1999 00:00:00
100,Jammu and Kashmir,-0.9100000,01-01-2000 00:00:00
101,Jammu and Kashmir,-0.7000000,01-01-2001 00:00:00
102,Jammu and Kashmir,-0.9100000,01-01-2002 00:00:00
103,Jammu and Kashmir,-1.3099999,01-01-2003 00:00:00
104,Jammu and Kashmir,-0.6500000,01-01-2004 00:00:00
105,Jammu and Kashmir,-1.4400001,01-01-2005 00:00:00
106,Jammu and Kashmir,-0.7600000,01-01-2006 00:00:00
107,Jammu and Kashmir,-0.5600000,01-01-2007 00:00:00
108,Jammu and Kashmir,-1.0599999,01-01-2008 00:00:00
109,Jammu and Kashmir,-0.5400000,01-01-2009 00:00:00
110,Jammu and Kashmir,-0.5700000,01-01-2010 00:00:00
111,Jammu and Kashmir,-0.8900000,01-01-2011 00:00:00
112,Jammu and Kashmir,-1.2300000,01-01-2012 00:00:00
113,Jammu and Kashmir,-0.7800000,01-01-2013 00:00:00
114,Jammu and Kashmir,-1.2000000,01-01-2014 00:00:00
115,Jammu and Kashmir,-0.8700000,01-01-2015 00:00:00
116,Jammu and Kashmir,-0.0600000,01-01-2016 00:00:00
117,Jammu and Kashmir,-0.5300000,01-01-2017 00:00:00
118,Jammu and Kashmir,-0.6000000,01-01-2018 00:00:00
119,Jammu and Kashmir,-1.1200000,01-01-2019 00:00:00
120,Jammu and Kashmir,-1.0700001,01-01-2020 00:00:00
121,Telangana,-1.6799999,01-01-1901 00:00:00
