-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,10.25,75.25,26.78,27.36,28.51,28.84,28.92,27.86,27.18,26.94,26.68,27.13,27.31,27.44,27.58
T2M,1981,10.25,75.75,26.77,27.67,28.91,29.03,28.73,27.39,26.71,26.47,26.29,26.78,26.91,27.02,27.39
T2M,1981,10.25,76.25,26.38,28.35,29.8,29.45,28.05,26.04,25.62,25.45,25.37,25.73,25.62,25.78,26.79
T2M,1981,10.25,76.75,22.51,24.71,26.97,27.41,25.46,23.02,22.84,22.72,22.86,23.04,22.5,22.0,23.83
T2M,1981,10.25,77.25,21.61,23.62,26.32,27.83,25.74,22.99,22.78,22.71,22.8,22.74,21.73,20.79,23.47
T2M,1981,10.25,77.75,22.58,24.3,27.36,29.5,27.48,24.87,24.64,24.63,24.28,23.9,22.49,21.38,24.78
T2M,1981,10.25,78.25,24.12,25.65,28.94,31.15,29.26,27.23,27.07,27.12,26.06,25.41,23.79,22.73,26.54
T2M,1981,10.25,78.75,24.82,26.28,29.29,31.44,29.69,28.29,28.18,28.31,26.68,25.94,24.43,23.57,27.24
T2M,1981,10.25,79.25,25.04,26.26,28.92,30.87,29.97,29.06,28.76,28.84,27.25,26.62,25.38,24.57,27.64
T2M,1981,10.75,75.25,26.93,27.59,28.73,28.89,28.88,27.65,26.99,26.71,26.52,26.98,27.29,27.34,27.54
T2M,1981,10.75,75.75,26.64,27.76,29.07,29.05,28.45,26.8,26.21,25.94,25.84,26.29,26.46,26.4,27.07
T2M,1981,10.75,76.25,25.14,27.28,29.03,28.97,27.28,24.84,24.56,24.36,24.39,24.56,24.32,23.96,25.71
T2M,1981,10.75,76.75,23.06,25.3,27.52,28.3,26.21,23.44,23.25,23.04,23.17,23.15,22.49,21.71,24.21
T2M,1981,10.75,77.25,23.13,25.16,27.79,29.47,27.29,24.57,24.33,24.16,23.96,23.71,22.53,21.62,24.8
T2M,1981,10.75,77.75,23.81,25.58,28.57,30.93,28.74,26.38,26.06,25.91,25.14,24.66,23.15,22.13,25.92
T2M,1981,10.75,78.25,24.29,25.9,29.1,31.78,29.62,27.84,27.47,27.29,25.94,25.25,23.66,22.54,26.72
T2M,1981,10.75,78.75,24.48,26.02,29.15,31.81,29.92,28.7,28.33,28.14,26.36,25.58,23.99,23.1,27.13
T2M,1981,10.75,79.25,24.65,26.02,29.01,31.49,30.34,29.52,28.97,28.82,26.89,26.17,24.68,23.89,27.54
T2M,1981,11.25,75.25,26.8,27.61,28.81,28.86,28.61,27.19,26.62,26.31,26.16,26.62,26.92,26.94,27.28
T2M,1981,11.25,75.75,25.82,27.21,28.73,28.73,27.64,25.65,25.27,24.98,24.96,25.28,25.34,25.18,26.23
T2M,1981,11.25,76.25,23.06,25.18,27.26,27.74,25.76,23.03,22.92,22.69,22.88,22.83,22.4,21.69,23.94
T2M,1981,11.25,76.75,22.2,24.32,26.54,27.9,25.79,22.86,22.69,22.4,22.57,22.38,21.54,20.57,23.47
T2M,1981,11.25,77.25,23.21,25.26,27.72,29.74,27.61,25.04,24.78,24.52,24.08,23.67,22.36,21.44,24.95
T2M,1981,11.25,77.75,24.06,25.97,28.75,31.31,29.12,27.0,26.64,26.35,25.28,24.69,23.16,22.14,26.2
T2M,1981,11.25,78.25,24.02,25.77,28.85,31.79,29.57,27.82,27.38,27.02,25.54,24.86,23.32,22.13,26.5
T2M,1981,11.25,78.75,23.73,25.3,28.49,31.46,29.67,28.31,27.81,27.44,25.71,24.99,23.33,22.4,26.56
T2M,1981,11.25,79.25,24.22,25.62,28.81,31.65,30.5,29.63,28.92,28.49,26.62,25.97,24.3,23.51,27.36
T2M,1981,11.75,75.25,26.01,27.14,28.61,28.68,27.97,26.29,25.9,25.57,25.46,25.85,25.94,25.88,26.6
T2M,1981,11.75,75.75,24.17,26.0,27.94,28.24,26.49,24.15,24.0,23.7,23.78,23.86,23.56,23.27,24.92
T2M,1981,11.75,76.25,21.65,24.05,26.38,27.46,24.96,21.98,21.94,21.68,21.97,21.77,21.01,20.19,22.91
T2M,1981,11.75,76.75,21.63,23.83,25.93,27.79,25.34,22.37,22.23,21.88,22.07,21.84,20.75,19.87,22.95
T2M,1981,11.75,77.25,22.35,24.55,26.74,29.04,26.83,24.33,24.03,23.68,23.25,22.83,21.43,20.51,24.13
T2M,1981,11.75,77.75,22.94,25.1,27.64,30.39,28.22,26.13,25.72,25.32,24.32,23.73,22.15,21.07,25.22
T2M,1981,11.75,78.25,23.05,25.04,28.0,31.19,29.0,27.14,26.62,26.15,24.85,24.17,22.49,21.3,25.75
T2M,1981,11.75,78.75,22.9,24.57,27.73,30.93,29.32,27.75,27.06,26.66,25.12,24.44,22.6,21.67,25.9
T2M,1981,11.75,79.25,23.69,25.15,28.46,31.6,30.53,29.52,28.61,28.03,26.44,25.8,23.93,23.12,27.08
T2M,1981,12.25,75.25,24.88,26.47,28.36,28.59,27.23,25.23,24.99,24.69,24.66,24.89,24.67,24.47,25.75
T2M,1981,12.25,75.75,22.45,24.73,27.13,27.94,25.5,22.89,22.83,22.55,22.75,22.58,21.87,21.41,23.71
T2M,1981,12.25,76.25,21.18,23.87,26.27,27.96,24.98,21.9,21.75,21.47,21.81,21.5,20.39,19.62,22.71
T2M,1981,12.25,76.75,22.14,24.47,26.47,28.72,25.79,22.83,22.66,22.25,22.39,22.09,20.75,20.09,23.38
T2M,1981,12.25,77.25,22.09,24.45,26.5,29.04,26.52,23.87,23.6,23.14,22.86,22.47,20.96,20.06,23.79
T2M,1981,12.25,77.75,21.92,24.28,26.67,29.64,27.34,24.99,24.59,24.06,23.4,22.87,21.21,20.09,24.25
T2M,1981,12.25,78.25,22.04,24.23,27.02,30.48,28.27,26.16,25.58,25.01,24.07,23.41,21.57,20.45,24.85
T2M,1981,12.25,78.75,22.4,24.35,27.28,30.76,29.14,27.35,26.53,26.06,24.82,24.12,22.09,21.2,25.51
T2M,1981,12.25,79.25,22.97,24.6,28.13,31.62,30.46,29.19,28.1,27.41,26.12,25.4,23.3,22.5,26.65
T2M,1981,8.25,75.25,26.83,27.25,28.01,28.79,28.78,27.93,27.54,27.42,27.07,27.14,27.0,27.4,27.6
T2M,1981,8.25,75.75,26.97,27.36,28.09,28.78,28.74,27.85,27.41,27.3,27.0,27.09,26.98,27.45,27.58
T2M,1981,8.25,76.25,27.1,27.48,28.21,28.76,28.68,27.74,27.22,27.1,26.9,27.01,26.95,27.41,27.55
T2M,1981,8.25,76.75,26.39,27.34,28.48,28.72,28.2,26.99,26.49,26.44,26.28,26.41,26.46,26.49,27.06
T2M,1981,8.25,77.25,25.19,26.4,28.24,28.55,27.54,26.09,25.74,25.78,25.66,25.78,25.63,25.28,26.32
T2M,1981,8.25,77.75,25.04,26.1,28.17,28.72,27.77,26.22,25.94,26.02,25.91,26.01,25.72,25.25,26.4
T2M,1981,8.25,78.25,25.9,26.6,28.34,29.06,28.73,27.22,26.9,26.92,26.82,26.87,26.69,26.31,27.2
T2M,1981,8.25,78.75,26.18,26.71,28.13,28.75,28.97,27.67,27.26,27.09,27.02,27.09,27.21,26.89,27.42
T2M,1981,8.25,79.25,26.03,26.66,28.46,28.8,28.91,27.68,27.24,27.04,26.96,27.02,27.19,26.75,27.4
T2M,1981,8.75,75.25,26.79,27.19,28.08,28.81,28.81,27.92,27.43,27.33,26.94,27.12,27.06,27.43,27.58
T2M,1981,8.75,75.75,26.94,27.36,28.21,28.81,28.77,27.81,27.22,27.14,26.84,27.05,27.03,27.46,27.56
T2M,1981,8.75,76.25,27.08,27.67,28.54,28.87,28.66,27.58,26.91,26.85,26.65,26.9,26.94,27.39,27.5
T2M,1981,8.75,76.75,25.02,26.62,28.47,28.44,27.39,25.88,25.41,25.48,25.33,25.46,25.41,25.14,26.16
T2M,1981,8.75,77.25,23.47,25.27,27.97,28.25,26.57,24.82,24.59,24.75,24.62,24.66,24.24,23.55,25.23
T2M,1981,8.75,77.75,23.77,25.26,28.19,28.79,27.19,25.27,25.18,25.43,25.24,25.2,24.49,23.72,25.64
T2M,1981,8.75,78.25,25.39,26.41,28.88,29.59,28.73,26.82,26.7,26.96,26.69,26.59,25.89,25.3,27.0
T2M,1981,8.75,78.75,25.96,26.66,28.39,29.21,29.23,27.74,27.42,27.45,27.19,27.17,26.9,26.42,27.48
T2M,1981,8.75,79.25,25.95,26.63,28.54,29.15,29.22,27.96,27.58,27.46,27.22,27.24,27.15,26.59,27.56
T2M,1981,9.25,75.25,26.73,27.15,28.19,28.83,28.85,27.93,27.36,27.21,26.85,27.17,27.14,27.45,27.58
T2M,1981,9.25,75.75,26.9,27.4,28.41,28.89,28.8,27.76,27.09,26.98,26.7,27.05,27.11,27.48,27.55
T2M,1981,9.25,76.25,27.12,28.03,29.12,29.13,28.62,27.33,26.64,26.59,26.41,26.78,26.87,27.41,27.5
