State,Year,Rainfall Average
Andhra Pradesh,1901,84.6645
Andhra Pradesh,1902,60.7535
Andhra Pradesh,1903,111.4730833
Andhra Pradesh,1904,63.69908333
Andhra Pradesh,1905,76.69216667
Andhra Pradesh,1906,73.71075
Andhra Pradesh,1907,65.88466667
Andhra Pradesh,1908,91.22608333
Andhra Pradesh,1909,64.81066667
Andhra Pradesh,1910,100.0721667
Andhra Pradesh,1911,71.93866667
Andhra Pradesh,1912,67.22441667
Andhra Pradesh,1913,74.59866667
Andhra Pradesh,1914,87.8455
Andhra Pradesh,1915,84.79775
Andhra Pradesh,1916,93.92683333
Andhra Pradesh,1917,108.97875
Andhra Pradesh,1918,51.96841667
Andhra Pradesh,1919,76.43875
Andhra Pradesh,1920,44.48
Andhra Pradesh,1921,76.03633333
Andhra Pradesh,1922,80.979
Andhra Pradesh,1923,63.9635
Andhra Pradesh,1924,74.03775
Andhra Pradesh,1925,81.82116667
Andhra Pradesh,1926,71.572
Andhra Pradesh,1927,87.42166667
Andhra Pradesh,1928,80.16125
Andhra Pradesh,1929,64.73183333
Andhra Pradesh,1930,78.593
Andhra Pradesh,1931,106.6580833
Andhra Pradesh,1932,82.76133333
Andhra Pradesh,1933,107.8628333
Andhra Pradesh,1934,84.8195
Andhra Pradesh,1935,84.40966667
Andhra Pradesh,1936,105.24775
Andhra Pradesh,1937,73.83216667
Andhra Pradesh,1938,107.1305833
Andhra Pradesh,1939,60.89783333
Andhra Pradesh,1940,90.02966667
Andhra Pradesh,1941,54.56633333
Andhra Pradesh,1942,82.7475
Andhra Pradesh,1943,81.01008333
Andhra Pradesh,1944,88.53025
Andhra Pradesh,1945,89.51975
Andhra Pradesh,1946,77.72816667
Andhra Pradesh,1947,92.35291667
Andhra Pradesh,1948,86.34816667
Andhra Pradesh,1949,111.5510833
Andhra Pradesh,1950,63.04025
Andhra Pradesh,1951,83.25608333
Andhra Pradesh,1952,64.72691667
Andhra Pradesh,1953,99.77416667
Andhra Pradesh,1954,86.14991667
Andhra Pradesh,1955,104.2231667
Andhra Pradesh,1956,94.09983333
Andhra Pradesh,1957,78.86508333
Andhra Pradesh,1958,80.36858333
Andhra Pradesh,1959,130.0313333
Andhra Pradesh,1960,67.20258333
Andhra Pradesh,1961,95.60525
Andhra Pradesh,1962,86.53141667
Andhra Pradesh,1963,96.15
Andhra Pradesh,1964,83.44025
Andhra Pradesh,1965,82.69416667
Andhra Pradesh,1966,90.19958333
Andhra Pradesh,1967,71.37466667
Andhra Pradesh,1968,68.058
Andhra Pradesh,1969,82.1035
Andhra Pradesh,1970,85.85958333
Andhra Pradesh,1971,71.23241667
Andhra Pradesh,1972,52.314
Andhra Pradesh,1973,97.08083333
Andhra Pradesh,1974,59.62525
Andhra Pradesh,1975,110.591
Andhra Pradesh,1976,78.90891667
Andhra Pradesh,1977,76.88241667
Andhra Pradesh,1978,99.51683333
Andhra Pradesh,1979,84.55616667
Andhra Pradesh,1980,80.27533333
Andhra Pradesh,1981,97.94691667
Andhra Pradesh,1982,82.43191667
Andhra Pradesh,1983,121.627
Andhra Pradesh,1984,56.79475
Andhra Pradesh,1985,78.15816667
Andhra Pradesh,1986,80.18716667
Andhra Pradesh,1987,71.01108333
Andhra Pradesh,1988,96.33258333
Andhra Pradesh,1989,87.34566667
Andhra Pradesh,1990,92.71475
Andhra Pradesh,1991,75.88591667
Andhra Pradesh,1992,77.08483333
Andhra Pradesh,1993,90.37558333
Andhra Pradesh,1994,99.95391667
Andhra Pradesh,1995,104.6300833
Andhra Pradesh,1996,90.09758333
Andhra Pradesh,1997,75.4765
Andhra Pradesh,1998,94.07916667
Andhra Pradesh,1999,78.469
Andhra Pradesh,2000,89.50375
Andhra Pradesh,2001,82.13483333
Andhra Pradesh,2002,72.20566667
Arunachal Pradesh,1901,149.6365
Arunachal Pradesh,1902,179.0154167
Arunachal Pradesh,1903,158.27175
Arunachal Pradesh,1904,139.4729167
Arunachal Pradesh,1905,126.6449167
Arunachal Pradesh,1906,134.1580833
Arunachal Pradesh,1907,143.7655
Arunachal Pradesh,1908,171.5798333
Arunachal Pradesh,1909,154.9500833
Arunachal Pradesh,1910,177.8483333
Arunachal Pradesh,1911,176.1481667
Arunachal Pradesh,1912,158.7850833
Arunachal Pradesh,1913,166.4290833
Arunachal Pradesh,1914,136.5100833
Arunachal Pradesh,1915,182.6456667
Arunachal Pradesh,1916,150.42625
Arunachal Pradesh,1917,159.38725
Arunachal Pradesh,1918,158.7050833
Arunachal Pradesh,1919,156.9538333
Arunachal Pradesh,1920,137.4398333
Arunachal Pradesh,1921,179.1981667
Arunachal Pradesh,1922,147.9011667
Arunachal Pradesh,1923,157.1215
Arunachal Pradesh,1924,186.9253333
Arunachal Pradesh,1925,168.17025
Arunachal Pradesh,1926,156.3035833
Arunachal Pradesh,1927,181.3085833
Arunachal Pradesh,1928,181.2705833
Arunachal Pradesh,1929,149.8216667
Arunachal Pradesh,1930,168.2031667
Arunachal Pradesh,1931,174.7825833
Arunachal Pradesh,1932,183.0696667
Arunachal Pradesh,1933,155.6495
Arunachal Pradesh,1934,157.2895
Arunachal Pradesh,1935,161.983
Arunachal Pradesh,1936,168.9040833
Arunachal Pradesh,1937,129.2480833
Arunachal Pradesh,1938,178.7341667
Arunachal Pradesh,1939,139.7874167
Arunachal Pradesh,1940,130.7581667
Arunachal Pradesh,1941,154.8253333
Arunachal Pradesh,1942,144.1326667
Arunachal Pradesh,1943,155.0626667
Arunachal Pradesh,1944,159.5475
Arunachal Pradesh,1945,164.5643333
Arunachal Pradesh,1946,146.0600833
Arunachal Pradesh,1947,181.3661667
Arunachal Pradesh,1948,183.18925
Arunachal Pradesh,1949,170.3730833
Arunachal Pradesh,1950,163.94725
Arunachal Pradesh,1951,149.84075
Arunachal Pradesh,1952,161.1616667
Arunachal Pradesh,1953,161.18325
Arunachal Pradesh,1954,176.8239167
Arunachal Pradesh,1955,164.9266667
Arunachal Pradesh,1956,139.9703333
Arunachal Pradesh,1957,152.95
Arunachal Pradesh,1958,182.3748333
Arunachal Pradesh,1959,164.7374167
Arunachal Pradesh,1960,136.9911667
Arunachal Pradesh,1961,155.4730833
Arunachal Pradesh,1962,141.6675
Arunachal Pradesh,1963,130.9265
Arunachal Pradesh,1964,155.1440833
Arunachal Pradesh,1965,147.111
Arunachal Pradesh,1966,168.1348333
Arunachal Pradesh,1967,118.3636667
Arunachal Pradesh,1968,157.5838333
Arunachal Pradesh,1969,127.4533333
Arunachal Pradesh,1970,169.9358333
Arunachal Pradesh,1971,155.9860833
