Year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chattisgarh,Dadra & Nagar Haveli,Daman & Diu,Delhi,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Pondicherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttaranchal,West Bengal,Lakshadweep,Goa
1901,84.6645,149.6365,198.8970833,92.76366667,99.60783333,42.33333333,84.14866667,36.96008333,51.10166667,41.16825,49.47808333,62.73841667,72.65858333,104.3869167,73.33841667,195.0589167,97.47233333,79.47008333,205.3274167,223.21325,227.42725,190.1173333,84.66275,62.55141667,37.54741667,60.42008333,633.5840833,83.14466667,237.9880833,47.36358333,74.09533333,83.14466667,37.54741667,47.36358333
1902,60.7535,179.0154167,226.0245,117.6528333,52.89166667,82.94525,106.887,44.77333333,48.60033333,46.20891667,39.09316667,51.14625,47.31975,104.8059167,67.92391667,222.4244167,102.1834167,78.36783333,226.9200833,188.6720833,205.54775,155.8481667,104.7275,101.8325,53.73333333,50.40875,590.6459167,52.10991667,185.68425,64.34991667,91.94358333,52.10991667,53.73333333,64.34991667
1903,111.4730833,158.27175,235.045,112.61375,40.50833333,82.91341667,133.4874167,23.95733333,29.12908333,28.06975,39.72933333,61.21791667,63.54558333,107.7785833,64.08291667,166.3674167,110.0115833,68.78591667,188.1091667,212.1711667,233.9328333,183.9320833,108.2883333,99.81058333,50.99983333,77.35591667,588.71375,63.62216667,192.9541667,87.01416667,79.46741667,63.62216667,50.99983333,87.01416667
1904,63.69908333,139.4729167,262.7264167,111.8780833,39.88333333,128.90225,126.7860833,49.21466667,24.34241667,52.2305,62.03833333,67.22216667,66.747,76.22608333,71.46316667,173.753,85.79725,49.6085,204.0464167,246.38625,178.9801667,163.75075,106.9404167,80.048,74.14533333,57.10141667,671.6528333,86.07583333,220.3000833,58.593,108.9924167,86.07583333,74.14533333,58.593
1905,76.69216667,126.6449167,214.714,123.4991667,43.81666667,93.02941667,92.04425,22.03183333,50.7685,41.569,62.07675,50.69975,98.35258333,78.17091667,50.62733333,209.2614167,107.7698333,49.69508333,233.4114167,222.2096667,207.3165,173.36975,95.61758333,56.17491667,34.94108333,51.03683333,779.7715833,84.18241667,190.1936667,80.982,103.3230833,84.18241667,34.94108333,80.982
1906,73.71075,134.1580833,199.563,112.7250833,48.3,121.5483333,84.42166667,51.108,48.199,36.37483333,68.96783333,60.17925,90.2355,95.69808333,52.7475,138.7474167,96.77583333,48.32516667,240.68525,214.4574167,226.5265,195.3113333,114.5235,93.83408333,27.67208333,41.74433333,711.3683333,75.8515,225.3380833,57.89033333,66.13375,75.8515,27.67208333,57.89033333
1907,65.88466667,143.7655,240.1213333,105.9006667,57.075,100.2816667,111.8753333,23.05116667,21.53283333,46.34808333,60.53391667,70.66866667,77.91616667,58.94741667,169.79175,97.76941667,63.09275,230.1655,193.5636667,212.3623333,238.24175,201.3635833,101.7714167,91.99125,35.421,34.65591667,625.9634167,53.63366667,178.6611667,53.5805,91.60358333,53.63366667,35.421,53.5805
1908,91.22608333,171.5798333,195.3340833,88.787,40.65,90.06666667,159.1735833,75.0225,46.77808333,43.72816667,60.75475,57.41225,130.5683333,54.73575,204.9519167,75.73158333,70.94033333,233.7878333,231.1938333,226.6156667,188.7970833,85.86166667,79.14408333,87.22241667,37.18125,47.81408333,597.7769167,93.96841667,191.9920833,79.07041667,55.53866667,93.96841667,37.18125,79.07041667
1909,64.81066667,154.9500833,224.6286667,120.1843333,65.53333333,96.57916667,120.7466667,60.00191667,58.18633333,55.91183333,73.92966667,55.51291667,118.2339167,82.772,171.0468333,135.7144167,97.55408333,223.4968333,221.849,227.8665833,204.272,93.54325,104.862,32.51216667,29.61383333,12.976,709.2491667,73.74241667,209.79975,45.81408333,78.75558333,73.74241667,29.61383333,45.81408333
1910,100.0721667,177.8483333,197.7691667,124.43775,76.88333333,86.84616667,162.2513333,41.03958333,52.49408333,38.20625,64.88558333,74.95133333,121.3950833,46.28525,143.27925,92.39583333,48.70241667,217.9885,248.0365833,221.8748333,191.3404167,100.7844167,120.2291667,24.79508333,28.63208333,598.676,65.52383333,67.58366667,221.5378333,54.70483333,47.98375,67.58366667,28.63208333,54.70483333
1911,71.93866667,176.1481667,254.3376667,128.7109167,51.89166667,125.4955,135.3025833,38.53383333,50.69375,65.27383333,93.85508333,65.98691667,101.7654167,41.24225,146.4145,129.3156667,46.72983333,276.99575,235.4188333,207.0315,181.7505833,116.6349167,44.66016667,29.71691667,28.06291667,734.6665,92.20016667,207.6849167,40.46866667,39.00908333,70.71408333,207.6849167,28.06291667,39.00908333
1912,67.22441667,158.7850833,253.74325,101.43525,44.775,111.6335,87.71783333,54.13708333,45.99258333,74.24333333,98.10708333,94.06891667,114.8099167,75.93383333,140.0386667,139.4538333,67.80358333,235.208,214.46525,285.5389167,209.1990833,121.2999167,67.41625,23.59741667,53.3495,739.36475,85.58758333,213.5720833,53.27108333,110.26475,107.60875,213.5720833,53.3495,110.26475
1913,74.59866667,166.4290833,230.6865833,136.0329167,45.86666667,99.2615,150.5684167,29.9325,58.65166667,51.207,74.38791667,89.104,109.7701667,56.51283333,180.11975,108.671,75.70266667,201.7035,217.8214167,220.7253333,196.2955833,97.17741667,103.5888333,33.59316667,32.38925,752.5015,46.02108333,203.5284167,47.04458333,85.98833333,104.2686667,203.5284167,32.38925,85.98833333
1914,87.8455,136.5100833,228.4098333,102.0870833,51.91666667,92.77491667,166.8098333,55.52566667,26.74575,44.58508333,73.37091667,71.63483333,103.4971667,45.31466667,165.4559167,123.27725,51.40575,207.6019167,187.5460833,198.3343333,171.3411667,85.78891667,102.9553333,39.42441667,18.04666667,742.1755,70.56758333,190.2923333,74.28241667,70.17658333,90.7725,190.2923333,18.04666667,70.17658333
1915,84.79775,182.6456667,271.4530833,123.3195,72.05,118.6455833,195.9216667,32.14866667,56.36733333,49.03241667,50.974,67.92841667,119.7035833,56.05408333,160.58025,115.3588333,68.41491667,204.7160833,213.1495,174.1639167,180.0800833,111.198,53.466,28.59141667,40.30875,689.57625,75.08225,250.4449167,26.89441667,109.3989167,135.3665,250.4449167,40.30875,109.3989167
1916,93.92683333,150.42625,190.3886667,126.949,47.025,105.9081667,116.21575,52.04933333,76.83825,49.23691667,69.696,48.68333333,85.74933333,73.91541667,200.413,126.2174167,99.357,259.45325,217.9510833,194.20275,177.15575,87.42908333,51.13958333,58.412,33.8945,710.3555833,74.48625,200.1233333,54.1535,72.8485,125.259,200.1233333,33.8945,72.8485
1917,108.97875,159.38725,279.7991667,137.5973333,62.99166667,96.66066667,135.6711667,57.28633333,72.25183333,69.85041667,82.93983333,76.87475,132.0400833,56.9595,171.6615833,106.55425,65.175,291.54475,269.2958333,241.6576667,224.99975,119.1103333,69.85958333,59.03283333,90.40141667,579.7049167,60.05983333,181.01875,52.70816667,99.09008333,113.8689167,181.01875,90.40141667,99.09008333
1918,51.96841667,158.7050833,267.5290833,123.9021667,72.40833333,137.53775,147.9478333,21.301,32.72675,47.54775,66.99941667,72.42558333,95.48033333,54.05091667,225.89175,107.97325,45.41,216.4190833,233.7896667,277.6795,247.5548333,99.54708333,84.51975,29.45516667,61.15041667,721.6525,59.48383333,158.6235833,87.02216667,72.14416667,95.21175,158.6235833,61.15041667,72.14416667
1919,76.43875,156.9538333,203.8471667,117.8705,28.33333333,96.58366667,64.37908333,33.31425,53.72683333,61.80225,71.29166667,60.07741667,103.1224167,62.22225,133.6495833,109.60275,73.7935,215.669,236.8236667,224.9513333,182.5550833,91.71675,81.65616667,29.79575,35.25758333,721.4350833,67.70991667,181.54675,66.01125,70.83958333,130.67675,181.54675,35.25758333,70.83958333
1920,44.48,137.4398333,199.5290833,109.1126667,52.56666667,117.9850833,156.4985833,39.46133333,78.52225,69.58608333,105.16275,57.14208333,131.4705,70.54058333,160.164,114.6691667,71.83291667,205.5781667,215.3260833,221.0505,195.22275,94.775,116.902,27.32908333,23.991,778.1405833,62.73325,215.1215,51.90608333,125.1375833,118.4833333,215.1215,23.991,125.1375833
1921,76.03633333,179.1981667,267.1679167,112.2701667,35.575,63.35308333,85.93666667,46.81241667,16.63508333,27.80575,40.40825,90.11466667,134.35225,79.08883333,186.7756667,120.74225,99.5885,252.2880833,255.0925,203.2183333,173.1938333,98.86725,78.581,43.46133333,53.26333333,684.16075,64.8775,252.2271667,42.91833333,117.8369167,110.0731667,252.2271667,53.26333333,117.8369167
1922,80.979,147.9011667,205.3791667,144.1616667,54.00833333,85.8875,134.9684167,40.42408333,53.144,50.708,49.79341667,42.78283333,100.96575,89.56491667,205.3559167,119.4154167,107.42625,261.8484167,223.0031667,254.4638333,220.0445833,119.6751667,91.34883333,49.65416667,24.84516667,799.3843333,98.54525,210.4934167,59.85958333,87.87891667,111.7344167,210.4934167,24.84516667,87.87891667
1923,63.9635,157.1215,202.3504167,90.15783333,64.95833333,103.123,118.4400833,50.89441667,44.75741667,37.4735,47.14583333,42.90091667,138.3928333,76.79758333,188.67425,126.71975,79.71766667,217.7095,248.7220833,269.9540833,220.7446667,112.3208333,80.30991667,23.60825,44.29225,648.7814167,89.5455,221.6065833,26.49433333,97.78566667,98.41166667,221.6065833,44.29225,97.78566667
1924,74.03775,186.9253333,234.4991667,126.4148333,49.075,69.93441667,118.7609167,54.40958333,64.7825,53.59766667,63.26716667,46.14841667,122.7814167,37.7135,159.3588333,94.31308333,35.24033333,251.0103333,262.99825,214.3755833,185.2694167,129.5295833,85.8355,44.01441667,23.57633333,791.7280833,70.37666667,191.1136667,71.12241667,80.38716667,138.5985833,191.1136667,23.57633333,80.38716667
1925,81.82116667,168.17025,218.1313333,110.5781667,58.675,100.3054167,106.2180833,39.88075,50.61358333,62.42225,73.7245,60.86408333,112.1348333,60.02433333,178.2750833,148.6115833,70.55508333,210.6329167,205.17875,240.7500833,211.1606667,96.8015,86.93608333,54.773,53.62991667,706.7476667,72.01433333,247.0264167,43.729,134.0596667,106.4465,247.0264167,53.62991667,134.0596667
1926,71.572,156.3035833,173.0704167,126.214,58.94166667,128.9155833,97.995,50.04883333,20.79575,48.93,86.91733333,64.179,146.8614167,44.92408333,189.1386667,86.5555,35.16175,207.7,200.3828333,210.3943333,177.81625,130.3074167,118.9194167,21.69025,100.3883333,872.4395,64.19775,260.2821667,71.43908333,114.5431667,116.703,260.2821667,100.3883333,114.5431667
1927,87.42166667,181.3085833,233.7093333,105.6860833,52.35,129.67425,170.0855,37.41716667,49.76966667,58.16583333,76.47541667,87.71508333,127.9999167,61.64641667,198.3035833,114.4593333,59.50758333,252.9330833,240.9613333,200.806,177.6174167,94.869,122.8525833,37.22733333,10.91066667,813.8243333,61.31275,198.4908333,101.3878333,123.0214167,145.85375,198.4908333,10.91066667,123.0214167
1928,80.16125,181.2705833,206.84275,126.9569167,44.44166667,134.39075,142.8365,22.72808333,36.353,57.71341667,71.02366667,74.67675,107.5405,45.439,186.33525,106.5553333,54.61625,220.2529167,222.96025,243.2445833,222.9768333,101.8125,85.49166667,20.03708333,42.0895,710.6535833,74.90291667,220.71025,29.15708333,131.5493333,137.3140833,220.71025,42.0895,131.5493333
